,RFP
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,4.7257067662
10,0.0
11,0.0
12,2.98971593511
13,0.507358189355
14,0.0
15,0.0
16,5.35877767347
17,4.14753533421
18,2.13892085846
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.910668143887
29,0.000146790040829
30,0.0
31,0.0
32,1.4273604529
33,0.0120195139314
34,0.0630247357654
35,2.39963724039
36,0.0174507454421
37,2.29487232478
38,0.0
39,4.31735414203e-05
40,9.73072044127
41,1.03230527948
42,7.66085134496
43,0.0
44,1.45435255099
45,0.299192642043
46,2.19418299148
47,6.18553372225
48,1.40410718349
49,2.2604975511
50,0.869471950664
51,0.0
52,0.0
53,0.796301432665
54,0.0
55,1.88393792283
56,0.0
57,0.00185646228107
58,0.0
59,8.7579514754
60,1.94598693656
61,3.08506038398
62,0.0
63,0.028270034922
64,2.08562743893
65,0.0
66,7.15570364092
67,0.0527494329074
68,1.0551440829
69,1.77134132681
70,0.0
71,0.0
72,0.0
73,1.56971225367
74,0.0
75,0.0
76,3.34266827093
77,0.0
78,0.0
79,8.39289327857
80,0.0
81,7.22872736888
82,0.0
83,0.838792832131
84,4.0781036449
85,1.7255773729
86,0.0
87,3.52219249086
88,0.0
89,8.95352761804
90,2.12802385661
91,2.26150781197
92,0.39763695119
93,0.0
94,0.0
95,0.0
96,0.00426554589233
97,6.6790245701
98,8.90361900416
99,0.0
100,4.05396100054
101,2.37240337046
102,0.0
103,2.01713693282
104,5.49231343708
105,3.18674270873
106,0.0
107,0.0
108,5.51415924904
109,0.0
110,9.02244122485
111,0.00367838572901
112,6.74609898405
113,0.0
114,0.0
115,4.21293461475
116,9.51297036776
117,0.0
118,0.0
119,0.0
120,0.0
121,0.00346251802191
122,0.0
123,0.0132629119243
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.00643285767163
132,0.0
133,0.0
134,0.473915964171
135,0.0109833489373
136,0.0
137,5.49875492946
138,2.53496038862
139,0.0
140,0.0390634202771
141,0.0
142,2.00983196962
143,6.04429579885e-05
144,0.0200843314687
145,0.0
146,3.85101081703
147,2.89988906483
148,0.0
149,4.88286709168
150,0.0
151,7.29923839673
152,0.0
153,0.14718723741
154,8.5140468705
155,2.59803693263
156,0.0
157,7.31589474901
158,0.0
159,7.66117082916
160,1.5955991091
161,7.29064686198
162,0.00244362244439
163,0.0
164,0.218423580754
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,7.10577775762
175,8.63470828407e-06
176,0.0136514737971
177,3.99709281178
178,0.0
179,0.0
180,6.38444286228
181,3.03172379091
182,0.0
183,0.00799573987104
184,7.26633152346
185,0.980229353824
186,2.32217527238
187,0.590432717756
188,1.78372349849
189,0.000638968413021
190,0.0293407387493
191,1.13168213713
192,0.0050944778876
193,1.7996804394
194,0.54245827853
195,1.51432060003
196,1.70171967392
197,6.42114037249
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,5.18082497044e-05
204,2.31722758453
205,0.0
206,0.0
207,2.7162029155
208,0.0
209,0.00124339799291
210,0.00613064288169
211,1.74023910757
212,2.69287193372
213,2.67037851864
214,4.09091755199
215,6.26828876644
216,3.67974137821
217,0.000604429579885
218,2.29498457599
219,6.07933544506
220,0.0
221,0.0
222,5.22047555088
223,2.23031061094
